epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,390,0.03949165894435002,0.004902887955690042,1.643290641063299,37.56410256410256,88.0068108974359,62.43589743589744,11.993189102564102,0.017472300348402577,0.007687176330180108,1.4689594234466552,47.09,94.1,52.91,5.900000000000006
2,780,0.03620015963529929,0.0017388044259487054,1.1422969983174251,58.58173076923077,95.59895833333333,41.41826923076923,4.401041666666671,0.01688329781158061,0.00800560094133208,1.1868254795074462,59.12,95.99,40.88,4.010000000000005
3,1170,0.03624445291665884,0.001740105946858724,0.9246588948445442,66.99719551282051,97.27163461538461,33.00280448717949,2.728365384615387,0.01711983318570294,0.007767028446438946,1.1041698112487792,63.43,95.62,36.57,4.3799999999999955
4,1560,0.035278971989949545,0.0016817716451791617,0.7720767942758707,72.97876602564102,98.14703525641026,27.021233974358978,1.8529647435897374,0.01821631117712093,0.007993785640861414,1.4368995943069458,58.53,96.26,41.47,3.739999999999995
5,1950,0.0364456085058359,0.0017358131897755157,0.6707014924440629,76.65865384615384,98.61177884615384,23.34134615384616,1.3882211538461604,0.018831910966317866,0.00929033303562599,0.7343347113609314,76.24,98.29,23.760000000000005,1.7099999999999937
6,2340,0.035985845174544895,0.0016784019959278597,0.604333292444547,78.93028846153847,98.86017628205128,21.069711538461533,1.1398237179487154,0.01725629311573656,0.007855427416065071,0.7944262846946716,75.58,98.22,24.42,1.7800000000000011
7,2730,0.035503828831208055,0.001614982653886844,0.5502344612891857,80.80528846153847,99.03445512820512,19.194711538461533,0.9655448717948758,0.01657375202903265,0.00797389428826827,1.1085845851898193,67.25,97.77,32.75,2.230000000000004
8,3120,0.03573784828186035,0.0015114234044001653,0.5141657390655615,82.17548076923077,99.16266025641026,17.824519230769226,0.8373397435897374,0.016671660580212556,0.00763120832322519,0.6350950198173523,78.68,98.84,21.319999999999993,1.1599999999999966
9,3510,0.03595691705361391,0.0015928910328791691,0.47975549025413317,83.50160256410257,99.24278846153847,16.49839743589743,0.757211538461533,0.016448823711540127,0.007702555837510507,0.6240584816932678,80.04,98.84,19.959999999999994,1.1599999999999966
10,3900,0.036265746752421064,0.0017801657701149965,0.44985302365743196,84.4130608974359,99.3729967948718,15.586939102564102,0.6270032051282044,0.016810169702843776,0.007741916028759148,0.6041258657455444,80.19,98.66,19.810000000000002,1.3400000000000034
11,4290,0.035285017429253995,0.0014493832221397986,0.4283969146318925,85.12620192307692,99.44911858974359,14.87379807692308,0.5508814102564088,0.016573263120047654,0.007486403742923012,0.5895303456306458,80.68,98.83,19.319999999999993,1.1700000000000017
12,4680,0.03583261783306415,0.0016423983451647635,0.41190067946146697,85.89142628205128,99.46113782051282,14.108573717948715,0.5388621794871824,0.01684307448471649,0.0076521982120562205,0.5336674842357636,82.35,98.88,17.650000000000006,1.1200000000000045
13,5070,0.03557013059273744,0.0016318700252435146,0.39026271723783934,86.47035256410257,99.50520833333333,13.52964743589743,0.4947916666666714,0.01678383803065819,0.007289542427545861,0.553001472234726,82.74,99.25,17.260000000000005,0.75
14,5460,0.03614968336545504,0.0015638168041522686,0.3718590552990253,87.13942307692308,99.53725961538461,12.86057692307692,0.4627403846153868,0.016693794274631933,0.007877971552595307,0.46775667116642,84.82,99.04,15.180000000000007,0.9599999999999937
15,5850,0.035202675599318285,0.0017202230600210336,0.3593477439803955,87.51402243589743,99.58733974358974,12.48597756410257,0.4126602564102626,0.01604460462739196,0.006901270226587223,0.4880092684268951,84.24,99.19,15.760000000000005,0.8100000000000023
16,6240,0.03458764186272254,0.001426090338291266,0.3431875272056995,88.14503205128206,99.61338141025641,11.854967948717942,0.3866185897435912,0.016034877752955957,0.008008854298651972,0.43281469669342043,86.02,99.32,13.980000000000004,0.6800000000000068
17,6630,0.035411505210093966,0.0016434816213754507,0.3284619176999117,88.53565705128206,99.68149038461539,11.464342948717942,0.3185096153846132,0.016003315961813626,0.00748381131811987,0.4828041295051575,85.49,99.18,14.510000000000005,0.8199999999999932
18,7020,0.035370387786473986,0.0015195265794411684,0.3242429175820106,88.8641826923077,99.66746794871794,11.135817307692307,0.3325320512820582,0.016140165208261226,0.007494875147372861,0.5171912225723266,84.17,99.53,15.829999999999998,0.46999999999999886
19,7410,0.034517289430667196,0.0014006602458464794,0.3105141091423157,89.29286858974359,99.6875,10.707131410256409,0.3125,0.016320023355604726,0.0077766014050833785,0.42535179942846296,86.16,99.44,13.840000000000003,0.5600000000000023
20,7800,0.035693076940683216,0.0014853569177480845,0.3037676515105443,89.52123397435898,99.69951923076923,10.478766025641022,0.3004807692307736,0.015974720822104924,0.007628280905228627,0.4641233191728592,84.8,99.37,15.200000000000003,0.6299999999999955
21,8190,0.03565255250686254,0.0015766571729611129,0.2958974554561652,89.7275641025641,99.71354166666667,10.272435897435898,0.2864583333333286,0.016042223459557643,0.007170640969578224,0.5133460346221924,83.62,99.22,16.379999999999995,0.7800000000000011
22,8580,0.035486759283603765,0.0014681375943697416,0.28362098410725595,90.23838141025641,99.74559294871794,9.761618589743591,0.2544070512820582,0.016317681421207476,0.00670313835144043,0.41991061079502107,86.09,99.56,13.909999999999997,0.4399999999999977
23,8970,0.035694153492267316,0.0016603292563022712,0.2745470370619725,90.53886217948718,99.76963141025641,9.461137820512818,0.2303685897435912,0.016311398035363307,0.007572617711900155,0.4605861720561981,85.72,99.32,14.280000000000001,0.6800000000000068
24,9360,0.035080978809258874,0.0014566494868351863,0.27164310864531077,90.5869391025641,99.75360576923077,9.413060897435898,0.2463942307692264,0.01692070236688928,0.0075564837153953845,0.47059920518398285,85.41,99.36,14.590000000000003,0.6400000000000006
25,9750,0.035020701090494794,0.00139006345699995,0.2674757616260113,90.75120192307692,99.7636217948718,9.24879807692308,0.2363782051282044,0.015835104109365727,0.006550785861437833,0.40461013972759247,87.47,99.56,12.530000000000001,0.4399999999999977
26,10140,0.0353932533508692,0.0014268007033910507,0.2590475085454109,90.85336538461539,99.79166666666667,9.146634615384613,0.2083333333333286,0.016019513335409043,0.006642746019966995,0.4807967055797577,85.51,99.51,14.489999999999995,0.4899999999999949
27,10530,0.03543437260847825,0.0013918485396947615,0.24847919958142134,91.32011217948718,99.8016826923077,8.679887820512818,0.1983173076923066,0.016827519935897633,0.007396350933026664,0.4004730971813202,87.48,99.52,12.519999999999996,0.480000000000004
28,10920,0.03538646820263985,0.0014686474433312049,0.2520506708094707,91.26802884615384,99.79767628205128,8.73197115384616,0.2023237179487154,0.016006466708605803,0.0067628667324404175,0.4246776754081249,86.46,99.59,13.540000000000006,0.4099999999999966
29,11310,0.03568168603456937,0.0015944664294903095,0.2363000682531259,91.6766826923077,99.81770833333333,8.323317307692307,0.1822916666666714,0.01585249961177005,0.0071282416959352135,0.43406124970912935,86.81,99.65,13.189999999999998,0.3499999999999943
30,11700,0.03533297379811605,0.0013930491912059295,0.23418865530536725,91.78485576923077,99.83774038461539,8.215144230769226,0.1622596153846132,0.016255040711994413,0.007607939877087557,0.4869475661635399,85.56,99.39,14.439999999999998,0.6099999999999994
