epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
12,4680,0.013574463281876002,0.002409481390928611,0.49660360996539776,82.91266025641026,99.27684294871794,17.087339743589737,0.7231570512820582,0.013956302328954768,0.01083250287212903,0.5979832668304443,80.25,99.05,19.75,0.9500000000000028
13,5070,0.013734721526121482,0.0027072741435124324,0.47632335454989705,83.5536858974359,99.28685897435898,16.446314102564102,0.713141025641022,0.013945241517658476,0.010850607594357261,0.589262737941742,80.67,99.14,19.33,0.8599999999999994
14,5460,0.013361530426221017,0.002205010560842661,0.4578838221537761,84.14863782051282,99.38902243589743,15.851362179487182,0.6109775641025692,0.013910685913472236,0.01106044612353361,0.6731208139419556,79.87,98.92,20.129999999999995,1.0799999999999983
15,5850,0.01358945858784211,0.002279524925427559,0.4491857203917626,84.453125,99.34094551282051,15.546875,0.659054487179489,0.014071328730522832,0.009810809847674792,0.6706608655452728,78.4,98.92,21.599999999999994,1.0799999999999983
16,6240,0.013760009178748497,0.0022507478029300007,0.4297969384835317,85.13621794871794,99.40705128205128,14.863782051282058,0.5929487179487154,0.013861933840981012,0.010568492020232767,0.5798934952735901,80.31,99.15,19.689999999999998,0.8499999999999943
17,6630,0.013536586516942733,0.002037668228149414,0.42499745931380833,85.25040064102564,99.4110576923077,14.749599358974365,0.5889423076923066,0.013989910294737997,0.010542048683649377,0.5908602910995483,80.6,99.13,19.400000000000006,0.8700000000000045
18,7020,0.01349639953711094,0.002086680363386105,0.40803922968797196,85.87940705128206,99.46714743589743,14.120592948717942,0.5328525641025692,0.014493260202528556,0.011207656015323687,0.4947392122268677,83.71,99.4,16.290000000000006,0.5999999999999943
19,7410,0.013511283581073468,0.0021526880753345978,0.3974096790720255,86.2920673076923,99.47315705128206,13.707932692307693,0.5268429487179418,0.013980491251885137,0.010883672327934942,0.6469907549858094,79.59,99.21,20.409999999999997,0.7900000000000063
20,7800,0.01345513967367319,0.0021596309466239733,0.38927863492415504,86.43429487179488,99.5673076923077,13.565705128205124,0.4326923076923066,0.013898502422284477,0.010010227372374716,0.5771182140350342,81.56,99.18,18.439999999999998,0.8199999999999932
21,8190,0.01344441328293238,0.0017547326210217598,0.3891228509637026,86.38421474358974,99.4911858974359,13.615785256410263,0.5088141025641022,0.014125802848912492,0.01024670842327649,0.5312911612510681,82.46,99.27,17.540000000000006,0.730000000000004
22,8580,0.013561858274997809,0.0022232942092113004,0.37546157642052724,86.93509615384616,99.54527243589743,13.06490384615384,0.4547275641025692,0.013998285124573526,0.01112744174426115,0.49124582402706146,83.63,99.3,16.370000000000005,0.7000000000000028
23,8970,0.013381469555390187,0.0021593497349665716,0.37127651350620466,87.12940705128206,99.55528846153847,12.870592948717942,0.444711538461533,0.014028036141697365,0.010256399082232125,0.4932204035758972,83.45,99.35,16.549999999999997,0.6500000000000057
24,9360,0.013706204830071865,0.0019786724677452673,0.36536861730691716,87.35977564102564,99.5733173076923,12.640224358974365,0.4266826923076934,0.013871262345132949,0.010971775537804712,0.484712904548645,84.27,99.39,15.730000000000004,0.6099999999999994
25,9750,0.013586075489337627,0.002199820371774527,0.3589008132234598,87.44190705128206,99.6474358974359,12.558092948717942,0.3525641025641022,0.014306023151059694,0.011081710646424112,0.4806699559211731,84.45,99.33,15.549999999999997,0.6700000000000017
26,10140,0.013657607176364996,0.002500584186651768,0.35530089468528064,87.58213141025641,99.62740384615384,12.417868589743591,0.3725961538461604,0.01385000687611254,0.010724263855173617,0.5380261170387268,82.69,99.4,17.310000000000002,0.5999999999999943
27,10530,0.013575421846829928,0.0022762408623328576,0.34888284103228495,87.90464743589743,99.63541666666667,12.09535256410257,0.3645833333333286,0.014334901978697958,0.011297117305707328,0.4739784465789795,84.05,99.38,15.950000000000003,0.6200000000000045
28,10920,0.01382141602345002,0.001878223052391639,0.33986539630553664,88.15705128205128,99.65344551282051,11.842948717948715,0.346554487179489,0.014156021649324441,0.01051903676383103,0.4994138313293457,83.93,99.35,16.069999999999993,0.6500000000000057
29,11310,0.013485194475222857,0.002233257049169296,0.3381580209502807,88.22716346153847,99.62339743589743,11.772836538461533,0.3766025641025692,0.014234316499927376,0.010711359072335159,0.4624951771259308,84.1,99.4,15.900000000000006,0.5999999999999943
30,11700,0.013368745950552133,0.0018214017916948367,0.33240461211938127,88.42748397435898,99.70953525641026,11.572516025641022,0.2904647435897374,0.01382484617112558,0.010913821715342848,0.5283711169719696,83.66,99.4,16.340000000000003,0.5999999999999943
31,12090,0.01366573969523112,0.002165496654999562,0.32762184211840994,88.57371794871794,99.68149038461539,11.426282051282058,0.3185096153846132,0.013817177543157264,0.010918315452865408,0.4557446400642395,85.04,99.41,14.959999999999994,0.5900000000000034
32,12480,0.013686598264254057,0.0020287648225441957,0.32395679499858465,88.7079326923077,99.70753205128206,11.292067307692307,0.2924679487179418,0.014104921606522573,0.009912762460829337,0.4485282825946808,85.64,99.42,14.36,0.5799999999999983
