epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
1,390,0.018961660678570087,0.004905971502646422,1.7231300616875673,34.48918269230769,86.38822115384616,65.5108173076923,13.61177884615384,0.014286665976802004,0.009672898280469678,1.5673328298568725,41.63,91.37,58.37,8.629999999999995
2,780,0.015636877524547087,0.0020223379135131834,1.227683789607806,55.260416666666664,94.93790064102564,44.739583333333336,5.062099358974365,0.01398529282099084,0.007950933673713781,1.1495349475860597,59.36,96.8,40.64,3.200000000000003
3,1170,0.015365690451401931,0.0018261304268470178,0.9807559236502036,64.7275641025641,96.97716346153847,35.2724358974359,3.022836538461533,0.013828929466537283,0.008648066581050051,0.9402126524925232,67.23,97.28,32.769999999999996,2.719999999999999
4,1560,0.015912339626214442,0.001653149800422864,0.8624611443434006,69.44911858974359,97.66826923076923,30.55088141025641,2.3317307692307736,0.014118912853772127,0.009309539312048804,0.8752430702209473,69.96,98.0,30.040000000000006,2.0
5,1950,0.0157620295500144,0.001960022632892315,0.7658232299945293,73.23116987179488,98.25320512820512,26.768830128205124,1.7467948717948758,0.013853785357897795,0.008776613428622862,1.0836308155059815,65.65,96.56,34.349999999999994,3.4399999999999977
6,2340,0.01525718371073405,0.0018546611834795047,0.6864247821080379,76.02564102564102,98.52764423076923,23.974358974358978,1.4723557692307736,0.015975946112524106,0.011055188842966586,0.8099179841995239,72.81,98.16,27.189999999999998,1.8400000000000034
7,2730,0.014980645668812288,0.0016090191327608548,0.6215246959374501,78.22916666666667,98.82411858974359,21.77083333333333,1.1758814102564088,0.014166813862474658,0.008772934539408623,0.7637244886398316,75.4,98.34,24.599999999999994,1.6599999999999966
8,3120,0.015602947504092485,0.0016722679138183594,0.5735838749469855,80.06810897435898,98.9443108974359,19.931891025641022,1.0556891025641022,0.014420135111748418,0.009997995593879797,0.6295942926883697,78.77,98.69,21.230000000000004,1.3100000000000023
9,3510,0.01508333927545792,0.001574560923454089,0.5456215136326277,81.15785256410257,99.1045673076923,18.84214743589743,0.8954326923076934,0.0136643059646027,0.008544858497909353,0.759635933971405,75.65,98.29,24.349999999999994,1.7099999999999937
10,3900,0.015249859981047801,0.0015776707575871395,0.510814023247132,82.32772435897436,99.17267628205128,17.672275641025635,0.8273237179487154,0.013848123671133307,0.009583895719504054,0.63703329205513,79.72,98.75,20.28,1.25
11,4290,0.015304318452492739,0.001719977305485652,0.4801100420646178,83.3193108974359,99.26282051282051,16.680689102564102,0.737179487179489,0.013567788691460332,0.009381421004669576,0.5325667875766754,81.81,99.21,18.189999999999998,0.7900000000000063
12,4680,0.015235823240035619,0.0015970908678494967,0.4635783789249567,84.03645833333333,99.3329326923077,15.963541666666671,0.6670673076923066,0.013981215561492533,0.009283210657819917,0.5158848733901977,82.96,99.16,17.040000000000006,0.8400000000000034
13,5070,0.015915980094518417,0.0014609532478528145,0.439384196469417,84.8056891025641,99.38501602564102,15.194310897435898,0.614983974358978,0.013959317267695559,0.008467665201501001,0.5380466044425964,82.63,99.07,17.370000000000005,0.9300000000000068
14,5460,0.015400032508067596,0.0016809665239774264,0.4234687451368723,85.33453525641026,99.44511217948718,14.665464743589737,0.5548878205128176,0.014039872567864913,0.009963778000843675,0.5043201173782349,83.0,99.12,17.0,0.8799999999999955
15,5850,0.015509669597332295,0.001753830909729004,0.4123568783585842,85.63501602564102,99.50520833333333,14.364983974358978,0.4947916666666714,0.013982380492777764,0.008856978597520273,0.6216642369270324,80.44,99.01,19.560000000000002,0.9899999999999949
16,6240,0.01589192916185428,0.001634501188229292,0.39458300654704753,86.2099358974359,99.54927884615384,13.790064102564102,0.4507211538461604,0.013883726506293574,0.009373574317256106,0.479252836894989,84.25,99.15,15.75,0.8499999999999943
17,6630,0.015039985607831907,0.0015148602999173679,0.38738435185872594,86.55849358974359,99.51322115384616,13.441506410256409,0.4867788461538396,0.013785313956345184,0.009140757065785082,0.5521818489074707,82.38,98.77,17.620000000000005,1.230000000000004
